frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,45668900.064356945,551777
4,53227293.249727614,650571
8,52004509.49908127,622086
16,46861948.55057281,562978
32,43224779.884299755,523931
64,40499174.36193648,542433
128,47086393.28195321,549675
256,46350668.255812526,581537
512,51621890.427756585,633139
1024,45861055.478960074,543218
2048,55301368.443368636,652282
4096,58344404.075831495,672420
8192,43360147.67286859,549900
16384,37687515.03848427,439379
32768,44446117.59678185,624894
65536,63073907.71849859,762482
