arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,96.7,3.3
20.0,7.918,96.7,3.3
20.0,5.649,97.0,3.0
20.0,4.639,98.2,1.8
20.0,4.073,95.2,4.8
22.0,16.772,96.8,3.2
22.0,7.918,96.8,3.2
22.0,5.649,96.2,3.8
22.0,4.639,90.5,9.5
22.0,4.073,94.3,5.7
24.0,16.772,96.8,3.2
24.0,7.918,96.9,3.1
24.0,5.649,94.6,5.4
24.0,4.639,95.8,4.2
24.0,4.073,91.7,8.3
26.0,16.772,96.7,3.3
26.0,7.918,96.4,3.6
26.0,5.649,93.1,6.9
26.0,4.639,96.7,3.3
26.0,4.073,96.0,4.0
28.0,16.772,96.7,3.3
28.0,7.918,96.6,3.4
28.0,5.649,93.9,6.1
28.0,4.639,96.9,3.1
28.0,4.073,99.0,1.0
30.0,16.772,96.7,3.3
30.0,7.918,96.8,3.2
30.0,5.649,93.9,6.1
30.0,4.639,96.2,3.8
30.0,4.073,94.9,5.1
32.0,16.772,96.9,3.1
32.0,7.918,96.9,3.1
32.0,5.649,96.8,3.2
32.0,4.639,97.4,2.6
32.0,4.073,97.0,3.0
34.0,16.772,97.0,3.0
34.0,7.918,97.1,2.9
34.0,5.649,97.4,2.6
34.0,4.639,96.9,3.1
34.0,4.073,95.7,4.3
36.0,16.772,97.3,2.7
36.0,7.918,94.3,5.7
36.0,5.649,97.1,2.9
36.0,4.639,97.3,2.7
36.0,4.073,97.2,2.8
38.0,16.772,97.2,2.8
38.0,7.918,94.9,5.1
38.0,5.649,95.0,5.0
38.0,4.639,97.4,2.6
38.0,4.073,94.7,5.3
40.0,16.772,97.5,2.5
40.0,7.918,95.0,5.0
40.0,5.649,97.6,2.4
40.0,4.639,94.9,5.1
40.0,4.073,97.6,2.4
