frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,515619.36150517076,298237
4,34027813.804519944,1184001
8,31872442.07702764,1050600
16,62100932.01553318,1689489
32,707978.0337531667,330491
64,34767157.99705136,1113898
128,32800324.38682831,1277839
256,36850138.54464918,1121774
512,68329115.10876353,1816251
1024,33614381.887552254,1187071
2048,31502176.66151231,1190023
4096,30079879.36104711,1199595
8192,1823159.133578032,381908
16384,3361909.814614753,410916
32768,612381.6805881769,262730
65536,20202243.346966345,1067559
