frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time
2,39573364.789035425,1181511
4,40647399.75818233,1194116
8,41552156.699065864,1150968
16,38731229.38941577,1100589
32,40438335.82279468,1153467
64,38994621.047518514,1189867
128,43181535.73450153,1220012
256,41426742.33799893,1164618
512,46380937.05921108,1222518
1024,40659301.43020114,1103542
2048,40659460.25412862,1184140
4096,39432613.87997023,1251182
8192,52352326.60445479,1211358
16384,33592385.58447351,978996
32768,54768804.12534166,1240294
65536,40458068.99963967,1182336
