frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1253898.213801,48502.000000,0.000000
4,1826096.132865,66355.000000,0.000000
8,443868.857678,18795.000000,0.000000
16,2031640.817452,74937.000000,0.000000
32,1504069.667182,56870.000000,0.000000
64,2119773.250333,70858.000000,0.000000
128,1557798.457481,56866.000000,0.000000
256,2235040.693951,77850.000000,0.000000
512,2904516.863349,103636.000000,0.000000
1024,1958824.547029,76637.000000,0.000000
2048,2851167.364324,100722.000000,0.000000
4096,2452059.284315,86145.000000,0.000000
8192,2261855.039803,75209.000000,0.000000
16384,3613957.084826,126913.000000,0.000000
32768,3709958.742359,128297.000000,0.000000
65536,5161309.207062,140573.000000,0.000000
