frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1939723.877003,224203.000000,0.000000
4,3104568.681986,292186.000000,0.000000
8,2172899.144334,283570.000000,0.000000
16,1897062.657857,231302.000000,0.000000
32,3500003.090749,288883.000000,0.000000
64,3466957.564988,297115.000000,0.000000
128,4324831.617253,307833.000000,0.000000
256,4660475.325755,301985.000000,0.000000
512,5086499.742067,302103.000000,0.000000
1024,4034648.945889,275385.000000,0.000000
2048,3694874.450579,293853.000000,0.000000
4096,3851532.107944,292611.000000,0.000000
8192,1762996.391594,201243.000000,0.000000
16384,4232703.388602,305416.000000,0.000000
32768,7064543.820360,245307.000000,0.000000
65536,11436175.235625,287367.000000,0.000000
