arrival_rate,bp_parameter,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,"{'L': 16.772, 'H': 64}",9822030.502165476,7185146.801352844,13577680.689711332,5989099.983089112,12460143.129742932,6020427.501021917,5989365.773709016,5749574.662491652
22,"{'L': 16.772, 'H': 64}",8362501.42733668,6578944.852858322,12678388.244133636,4998162.629475055,11629058.926099824,5047599.116582457,4998443.296019772,4790220.331935474
24,"{'L': 16.772, 'H': 64}",6361704.104457862,5522365.753127639,11245807.160330556,3738959.515846086,10580833.706666123,3806625.416668417,3739217.650885275,3565806.510831736
26,"{'L': 16.772, 'H': 64}",4504417.300387254,4646455.34780568,10062277.57654886,2580421.3877432887,9065275.434376167,2679284.246925473,2580756.044245174,2457710.232986794
28,"{'L': 16.772, 'H': 64}",2638208.8498885,3408608.6450371505,7745327.193241419,1497177.9171170674,5604778.291263625,1611785.337450369,1497488.8837210112,1474769.0354218185
30,"{'L': 16.772, 'H': 64}",447369.3408761937,929573.1708902748,3210253.397594495,249407.81582179817,2057823.8610004988,451165.17977454775,249614.01930580745,515590.08953140286
32,"{'L': 16.772, 'H': 64}",102016.316979197,137031.44882106443,416942.21889369754,57903.513693039386,269362.03840185056,108187.18539180137,58081.091329278584,132790.75039324086
34,"{'L': 16.772, 'H': 64}",34489.70498569102,29894.41118336335,75405.38108782424,20592.6841620999,60158.073065882025,25730.998037386737,20709.14667483911,29894.41118336335
36,"{'L': 16.772, 'H': 64}",27473.913099520425,23357.182278691067,55035.17250813338,16716.47567521336,46260.93449120975,18954.439163425544,16800.78804699351,23357.182278691067
38,"{'L': 16.772, 'H': 64}",21666.30879960867,18089.705718999412,43477.853730376344,13531.763595333758,34684.46806569188,14976.396963221829,13593.685703296218,18089.705718999412
40,"{'L': 16.772, 'H': 64}",17809.042534622684,13796.459799528284,29692.689184376683,11377.010459694586,25903.282012131203,12321.003368232638,11440.669866751685,13796.459799528284
