frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,197509.690165,43303.000000
128,168287.307073,42941.000000
2048,233814.618514,46037.000000
16,180117.684598,48348.000000
256,198955.829125,43805.000000
2,197194.859824,55581.000000
32768,43443.216743,31227.000000
32,210704.871486,47044.000000
4096,222195.444897,40549.000000
16384,236569.901801,73497.000000
4,196164.332247,51747.000000
65536,140171.820274,34834.000000
8192,231833.199680,49281.000000
64,149347.727683,38795.000000
512,124467.073180,51904.000000
8,173523.276292,48184.000000
